City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Tasiilaq,GL,65.6145,-37.6368,30.36,68,100,6.31,overcast clouds
161,Gama,ES,42.748,-4.2068,40.39,81,40,1.57,scattered clouds
162,Saint-Georges,GD,12.0564,-61.7485,82.08,83,75,0.0,broken clouds
163,Narsaq,GL,60.9167,-46.05,35.82,99,100,4.92,heavy intensity rain
164,Kamaishi,JP,39.2667,141.8833,37.63,78,27,8.03,scattered clouds
165,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,78,90,23.02,light snow
166,Yaan,NG,7.3833,8.5667,87.76,19,38,3.71,scattered clouds
167,Opuwo,NA,-18.0607,13.84,84.7,13,6,18.63,clear sky
168,Condado,CU,21.8767,-79.8403,82.56,49,10,3.29,clear sky
169,Kaseda,JP,31.4167,130.3167,53.73,60,0,13.18,clear sky
170,Samarai,PG,-10.6167,150.6667,81.01,76,83,2.66,broken clouds
171,Kavieng,PG,-2.5744,150.7967,81.75,73,34,4.07,scattered clouds
172,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.96,54,92,1.63,overcast clouds
173,Klaksvik,FO,62.2266,-6.589,32.92,82,100,37.78,light snow
174,Namibe,AO,-15.1961,12.1522,71.91,60,6,14.92,clear sky
175,Iqaluit,CA,63.7506,-68.5145,19.13,79,75,5.75,broken clouds
176,Dzilam Gonzalez,MX,21.2833,-88.9333,83.59,47,7,4.85,clear sky
177,Bauta,CU,22.9828,-82.5464,80.49,61,75,9.22,broken clouds
178,Castro,BR,-24.7911,-50.0119,80.4,55,54,16.31,broken clouds
179,Zhangjiakou,CN,40.81,114.8794,27.66,56,0,1.39,clear sky
180,Cockburn Town,TC,21.4612,-71.1419,82.36,57,40,8.05,scattered clouds
181,Kodinsk,RU,58.6881,99.1844,5.68,89,100,10.11,overcast clouds
182,Muros,ES,42.7762,-9.0603,48.7,76,67,12.68,broken clouds
183,Say,NE,13.1007,2.3689,92.26,14,4,7.7,clear sky
184,Puerto Ayora,EC,-0.7393,-90.3518,78.76,71,71,12.19,broken clouds
185,Churapcha,RU,62.0025,132.4325,-17.86,100,29,4.68,scattered clouds
186,Doha,QA,25.2867,51.5333,76.98,69,0,3.44,clear sky
187,Meulaboh,ID,4.1363,96.1285,76.84,89,72,2.82,broken clouds
188,Quelimane,MZ,-17.8786,36.8883,78.75,69,40,6.91,scattered clouds
189,Merauke,ID,-8.4667,140.3333,81.1,76,100,1.92,overcast clouds
190,Bowen,AU,-20.0167,148.2333,76.98,85,100,4.56,light rain
191,Geraldton,AU,-28.7667,114.6,66.61,39,0,10.36,clear sky
192,Turukhansk,RU,65.8167,87.9833,5.4,95,100,13.2,light snow
193,Marsh Harbour,BS,26.5412,-77.0636,73.92,56,97,3.36,overcast clouds
194,Lorengau,PG,-2.0226,147.2712,80.96,76,52,3.11,broken clouds
195,Nantucket,US,41.2835,-70.0995,51.91,87,90,11.5,moderate rain
196,Aklavik,CA,68.2191,-135.0107,2.12,84,90,18.41,light snow
197,Saint-Joseph,RE,-21.3667,55.6167,77.38,87,74,10.71,light rain
198,Kruisfontein,ZA,-34.0033,24.7314,63.93,77,100,28.7,overcast clouds
199,Pontes E Lacerda,BR,-15.2261,-59.3353,81.43,76,99,2.82,overcast clouds
200,Ancud,CL,-41.8697,-73.8203,56.73,58,100,9.57,overcast clouds
201,Evensk,RU,61.95,159.2333,-9.9,82,5,10.6,clear sky
202,Bredasdorp,ZA,-34.5322,20.0403,63.0,92,100,23.13,heavy intensity rain
203,Yancheng,CN,33.3856,120.1253,47.01,72,0,5.48,clear sky
204,Buala,SB,-8.145,159.5921,79.0,83,58,2.8,light rain
205,Saly,HU,47.95,20.6667,39.92,94,100,5.1,light rain
206,Simao,CN,22.7886,100.9748,53.13,98,1,2.17,clear sky
207,Mount Isa,AU,-20.7333,139.5,73.17,56,23,8.05,few clouds
208,Bandarbeyla,SO,9.4942,50.8122,79.45,81,95,12.35,overcast clouds
209,Dinar,TR,38.065,30.1656,56.98,76,78,10.87,broken clouds
210,Palmas,BR,-10.2128,-48.3603,84.07,65,75,3.44,broken clouds
211,Alyangula,AU,-13.8483,136.4192,79.86,79,100,2.44,overcast clouds
212,Takapau,NZ,-40.0333,176.35,51.75,88,68,6.02,broken clouds
213,South Lyon,US,42.4606,-83.6516,31.12,51,100,15.88,overcast clouds
214,Khani,GE,41.9563,42.9566,40.57,81,59,3.76,broken clouds
215,Winnemucca,US,40.973,-117.7357,35.65,51,1,4.61,clear sky
216,Tessalit,ML,20.1986,1.0114,85.19,21,55,8.34,broken clouds
217,Tutoia,BR,-2.7619,-42.2744,91.38,63,100,13.42,overcast clouds
218,Pangody,RU,65.85,74.4859,-10.66,96,25,7.9,scattered clouds
219,Port Moresby,PG,-9.4431,147.1797,76.89,89,100,3.87,heavy intensity rain
220,Victoria,HK,22.2855,114.1577,69.85,73,44,17.29,scattered clouds
221,Sorong,ID,-0.8833,131.25,79.38,84,98,6.04,overcast clouds
222,Olafsvik,IS,64.8945,-23.7142,34.47,62,100,10.98,overcast clouds
223,Neiafu,TO,-18.65,-173.9833,77.68,94,40,2.3,scattered clouds
224,Merke,KZ,42.8728,73.1786,30.61,92,87,1.99,light snow
225,Hualmay,PE,-11.0964,-77.6139,71.28,74,62,12.46,broken clouds
226,Changji,CN,44.0167,87.3167,30.99,80,90,2.24,light snow
227,Virginia Beach,US,36.8529,-75.978,55.45,54,75,14.97,broken clouds
228,San Jose,US,37.3394,-121.895,57.02,78,40,3.44,haze
229,Suntar,RU,62.1444,117.6319,7.88,98,100,1.16,overcast clouds
230,Mar Del Plata,AR,-38.0023,-57.5575,68.22,58,0,14.0,clear sky
231,Leshukonskoye,RU,64.8989,45.7622,17.37,96,100,4.47,overcast clouds
232,Nouadhibou,MR,20.931,-17.0347,73.38,83,0,17.27,clear sky
233,Morondava,MG,-20.2833,44.2833,81.1,61,39,19.75,scattered clouds
234,Saint-Pierre,RE,-21.3393,55.4781,78.48,73,90,10.36,light rain
235,Antofagasta,CL,-23.65,-70.4,67.28,64,64,8.3,broken clouds
236,Tabuk,PH,17.4189,121.4443,72.57,96,98,2.01,overcast clouds
237,Naze,JP,28.3667,129.4833,61.5,57,94,15.3,overcast clouds
238,Pisco,PE,-13.7,-76.2167,68.05,83,20,10.36,few clouds
239,Hauterive,FR,46.0901,3.4459,41.76,87,100,7.05,overcast clouds
240,Shenzhen,CN,22.5455,114.0683,69.75,50,20,5.46,few clouds
241,Japoata,BR,-10.3467,-36.8011,84.42,58,91,9.37,overcast clouds
242,Bambanglipuro,ID,-7.95,110.2833,78.37,86,82,3.6,broken clouds
243,Mitsamiouli,KM,-11.3847,43.2844,81.23,79,15,8.12,light rain
244,Manta,EC,-0.95,-80.7333,76.78,78,90,10.36,overcast clouds
245,Wajima,JP,37.4,136.9,45.93,64,100,21.7,overcast clouds
246,Damietta,EG,31.4165,31.8133,68.86,65,22,9.06,few clouds
247,Orbetello,IT,42.4408,11.2196,53.62,79,80,11.03,broken clouds
248,Lhokseumawe,ID,5.1801,97.1507,78.08,83,100,3.4,overcast clouds
249,Lac Du Bonnet,CA,50.2536,-96.0612,23.72,74,57,9.62,broken clouds
250,Saint George,US,37.1041,-113.5841,37.99,41,1,0.0,clear sky
251,Menongue,AO,-14.6585,17.691,79.18,30,16,4.34,few clouds
252,Henties Bay,NA,-22.116,14.2845,62.46,82,2,9.89,clear sky
253,Antalaha,MG,-14.9003,50.2788,76.17,85,100,5.53,light rain
254,Porto Murtinho,BR,-21.6989,-57.8825,93.49,48,67,3.96,broken clouds
255,Beira,MZ,-19.8436,34.8389,77.09,78,40,20.71,light rain
256,Hirara,JP,24.8,125.2833,70.36,81,100,29.97,light rain
257,Thompson,CA,55.7435,-97.8558,12.36,85,90,5.75,light snow
258,Gainesville,US,29.6516,-82.3248,73.11,88,90,6.91,overcast clouds
259,Nexo,DK,55.0607,15.1306,39.29,76,100,8.7,overcast clouds
260,Westport,US,41.1415,-73.3579,48.18,81,90,20.71,overcast clouds
261,Hasaki,JP,35.7333,140.8333,45.0,64,6,15.61,clear sky
262,Ferlach,AT,46.5269,14.3019,38.14,100,75,1.14,mist
263,Palkonda,IN,18.6,83.75,72.37,86,9,2.24,clear sky
264,Severo-Yeniseyskiy,RU,60.3725,93.0408,-0.08,92,88,11.21,overcast clouds
265,Katsuura,JP,35.1333,140.3,51.91,63,7,16.67,clear sky
266,Lubango,AO,-14.9172,13.4925,69.57,29,28,11.54,scattered clouds
267,Arcachon,FR,44.5875,-1.0519,50.05,81,75,9.22,broken clouds
268,Port Hardy,CA,50.6996,-127.4199,41.18,93,75,6.91,broken clouds
269,A Coruna,ES,43.3713,-8.396,50.72,93,75,11.5,broken clouds
270,Parrita,CR,9.5201,-84.3225,92.97,68,49,6.15,scattered clouds
271,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,78,9.53,light rain
272,Corowa,AU,-36.0333,146.3833,59.32,69,100,8.41,overcast clouds
273,Muroto,JP,33.2833,134.15,54.14,53,2,15.43,clear sky
274,Dali,CN,25.7,100.1833,45.41,74,2,2.42,clear sky
275,Medak,IN,18.0333,78.2667,70.7,71,86,5.48,overcast clouds
276,Krasnoselkup,RU,65.7,82.4667,-2.11,95,100,13.85,overcast clouds
277,Winslow,US,35.0242,-110.6974,37.58,35,1,0.0,clear sky
278,Sur,OM,22.5667,59.5289,77.07,65,4,8.37,clear sky
279,Adrar,MR,20.5022,-10.0711,89.38,16,95,9.51,overcast clouds
280,Belmonte,BR,-15.8631,-38.8828,82.4,58,87,8.25,overcast clouds
281,Calabozo,VE,8.9242,-67.4293,91.51,44,73,5.79,broken clouds
282,Xai-Xai,MZ,-25.0519,33.6442,71.73,60,71,10.98,broken clouds
283,Sao Joao Del Rei,BR,-21.1356,-44.2617,75.63,80,97,6.76,overcast clouds
284,Yangjiang,CN,21.85,111.9667,64.62,51,48,7.76,scattered clouds
285,Sili,CN,28.4,117.1667,50.02,74,0,4.23,clear sky
286,La Palma,US,33.8464,-118.0467,73.58,14,20,4.61,few clouds
287,Laje,BR,-10.1833,-40.9667,88.27,40,95,4.88,overcast clouds
288,Mweka,CD,-4.85,21.5667,66.88,99,100,0.78,overcast clouds
289,Vilcun,CL,-38.65,-72.2333,63.34,34,13,6.15,few clouds
290,Portland,US,45.5234,-122.6762,52.38,79,90,6.91,overcast clouds
291,Golden,US,39.7555,-105.2211,57.69,28,20,3.44,few clouds
292,Palencia,ES,42.4167,-4.5,38.91,72,89,6.31,overcast clouds
293,Bengkulu,ID,-3.8004,102.2655,76.39,88,77,5.39,heavy intensity rain
294,San Cristobal,VE,7.7669,-72.225,77.18,59,95,4.99,overcast clouds
295,Matara,LK,5.9485,80.5353,77.85,90,100,5.1,overcast clouds
296,Atasu,KZ,48.6814,71.6433,12.7,92,12,7.2,few clouds
297,Ayorou,NE,14.7308,0.9174,92.77,12,33,10.2,scattered clouds
298,Rocha,UY,-34.4833,-54.3333,76.23,60,21,15.64,few clouds
299,Nome,US,64.5011,-165.4064,-16.53,69,1,3.44,clear sky
300,Dongzhen,CN,22.3797,110.9389,63.79,66,12,4.9,few clouds
301,Saint-Augustin,CA,51.226,-58.6502,42.91,97,100,14.23,overcast clouds
302,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,87.22,54,100,4.16,light rain
303,Borogontsy,RU,62.6683,131.1683,-13.76,98,24,5.97,few clouds
304,Palmares Do Sul,BR,-30.2578,-50.5097,75.65,70,48,15.21,light rain
305,Manggar,ID,-2.8833,108.2667,80.15,82,98,4.23,overcast clouds
306,Constitucion,CL,-35.3333,-72.4167,64.71,61,7,15.64,clear sky
307,Srednekolymsk,RU,67.45,153.6833,-34.01,99,14,3.31,few clouds
308,Ilulissat,GL,69.2167,-51.1,21.22,79,75,3.44,broken clouds
309,Beaverlodge,CA,55.2166,-119.4361,33.15,56,87,20.74,overcast clouds
310,Nowy Sacz,PL,49.6218,20.6971,42.12,92,100,3.44,light rain
311,Avera,US,33.194,-82.5271,60.31,30,26,13.62,scattered clouds
312,Kudahuvadhoo,MV,2.6708,72.8944,81.57,74,85,13.71,overcast clouds
313,Mahibadhoo,MV,3.7833,72.9667,81.66,78,75,12.73,broken clouds
314,Leh,IN,34.1667,77.5833,17.71,64,47,2.21,scattered clouds
315,Berezovyy,RU,51.6667,135.7,9.82,95,99,4.43,overcast clouds
316,Rawson,AR,-43.3002,-65.1023,68.25,47,87,16.04,overcast clouds
317,Sambava,MG,-14.2667,50.1667,77.02,84,38,4.81,light rain
318,Tongzi,CN,28.7829,105.0877,51.94,87,100,2.57,overcast clouds
319,Airai,TL,-8.9266,125.4092,62.53,94,91,1.23,overcast clouds
320,Isangel,VU,-19.55,169.2667,76.5,85,10,7.58,clear sky
321,Conde,BR,-7.2597,-34.9075,87.26,58,20,13.8,few clouds
322,Inhambane,MZ,-23.865,35.3833,73.38,68,20,4.61,few clouds
323,Craig,US,40.5153,-107.5464,35.55,48,1,3.44,clear sky
324,Farrukhnagar,IN,17.0778,78.2011,69.51,72,99,7.29,overcast clouds
325,Maldonado,UY,-34.6667,-54.9167,72.79,49,9,14.2,clear sky
326,Leningradskiy,RU,69.3833,178.4167,-27.15,96,34,3.51,scattered clouds
327,Isiolo,KE,0.3546,37.5822,70.21,75,84,6.91,broken clouds
328,Itamaraca,BR,-7.7478,-34.8256,88.48,64,34,10.42,scattered clouds
329,Havelock,US,34.8791,-76.9013,60.78,58,1,17.27,clear sky
330,Sarai Alamgir,PK,32.9012,73.7559,60.78,33,9,3.22,clear sky
331,Xichang,CN,27.8964,102.2634,48.36,89,96,2.26,overcast clouds
332,Alice Springs,AU,-23.7,133.8833,58.55,82,0,0.0,clear sky
333,Haines Junction,CA,60.7522,-137.5108,-13.05,77,100,5.75,overcast clouds
334,Huilong,CN,31.8111,121.655,52.93,66,0,8.72,clear sky
335,Idil,TR,37.3411,41.8895,50.45,65,53,4.0,broken clouds
336,Sirjan,IR,29.452,55.6814,58.15,26,0,1.43,clear sky
337,Chokwe,MZ,-24.5333,32.9833,71.71,61,100,10.69,overcast clouds
338,Bonthe,SL,7.5264,-12.505,83.84,70,89,8.75,light rain
339,Balkhash,KZ,46.844,74.9804,20.93,64,90,5.53,overcast clouds
340,Acari,PE,-15.4311,-74.6158,78.58,55,67,11.5,broken clouds
341,Salym,RU,60.0625,71.4789,4.39,98,98,5.68,overcast clouds
342,Tomatlan,MX,19.9333,-105.25,84.07,34,72,2.8,broken clouds
343,Santa Rosa,PH,14.3122,121.1114,80.58,84,99,8.95,overcast clouds
344,Kimbe,PG,-5.5502,150.1429,75.16,92,87,3.13,light rain
345,Peniche,PT,39.3558,-9.3811,55.35,63,7,26.08,clear sky
346,Pecos,US,31.4229,-103.4932,52.63,31,1,0.0,clear sky
347,Bac Lieu,VN,9.285,105.7244,76.5,88,100,7.31,overcast clouds
