City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Puerto Morazan,NI,81.88,overcast clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
187,Hithadhoo,MV,80.51,broken clouds,-0.6,73.0833,Scoop Guest House
188,Baniyas,SY,55.69,clear sky,35.1819,35.9487,Soirée salon
189,Dawei,MM,72.0,clear sky,14.0833,98.2,Hotel Dawei
191,Englewood,US,64.38,broken clouds,39.6478,-104.9878,Holiday Motel
192,Tucuman,AR,80.6,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
193,Fare,PF,81.45,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
194,Novo Aripuana,BR,75.7,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
196,Teknaf,BD,66.76,clear sky,20.8624,92.3058,Forestry Guesthouse
198,Bubaque,GW,83.08,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
199,Hasaki,JP,48.6,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
200,Rawson,AR,62.29,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
201,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
203,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
204,Sinnai,IT,50.14,scattered clouds,39.3042,9.2036,La Rosa Dei Venti Sardinya
205,Arraial Do Cabo,BR,72.05,light rain,-22.9661,-42.0278,Pousada Porto Praia
211,Coahuayana,MX,79.63,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
212,Port Hardy,CA,42.98,broken clouds,50.6996,-127.4199,Airport Inn
213,Bredasdorp,ZA,64.24,light rain,-34.5322,20.0403,Bredasdorp Country Manor
214,Dillon,US,51.78,clear sky,34.4166,-79.3712,Dillon Express Inn
215,Airai,TL,70.14,overcast clouds,-8.9266,125.4092,Juvinal Martin
217,Hambantota,LK,77.9,overcast clouds,6.1241,81.1185,Bungalow 63
221,Takaka,NZ,71.02,overcast clouds,-40.85,172.8,Golden Bay Motels
222,Port Lincoln,AU,60.19,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
223,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
224,Kaitangata,NZ,50.86,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
225,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
228,Parrsboro,CA,45.16,overcast clouds,45.4001,-64.332,Gillespie House Inn
229,Razole,IN,73.31,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
230,Mayo,US,42.78,clear sky,38.8876,-76.5119,Resorts Resource Group International
